web-scraper-order,web-scraper-start-url,pagi,Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"1655991395-8","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Enloe State Bank","Cooper","TX","10716","Legend Bank, N. A.","May 31, 2019","10531"
"1655991395-1","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Almena State Bank","Almena","KS","15426","Equity Bank","October 23, 2020","10538"
"1655991395-95","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Waccamaw Bank","Whiteville","NC","34515","First Community Bank","June 8, 2012","10444"
"1655991395-410","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Hillcrest Bank Florida","Naples","FL","58336","Stonegate Bank","October 23, 2009","10131"
"1655991395-16","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Harvest Community Bank","Pennsville","NJ","34951","First-Citizens Bank & Trust Company","January 13, 2017","10523"
"1655991395-212","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Oglethorpe Bank","Brunswick","GA","57440","Bank of the Ozarks","January 14, 2011","10327"
"1655991395-374","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Independent Bankers' Bank","Springfield","IL","26820","The Independent BankersBank (TIB)","December 18, 2009","10166"
"1655991395-424","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Platinum Community Bank","Rolling Meadows","IL","35030","No Acquirer","September 4, 2009","10115"
"1655991395-27","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Capitol City Bank & Trust Company","Atlanta","GA","33938","First-Citizens Bank & Trust Company","February 13, 2015","10512"
"1655991395-290","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Washington First International Bank","Seattle","WA","32955","East West Bank","June 11, 2010","10249"
"1655991395-523","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Main Street Bank","Northville","MI","57654","Monroe Bank & Trust","October 10, 2008","10016"
"1655991395-190","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Legacy Bank","Milwaukee","WI","34818","Seaway Bank and Trust Company","March 11, 2011","10348"
"1655991395-41","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","AztecAmerica Bank
            

            En Español","Berwyn","IL","57866","Republic Bank of Chicago","May 16, 2014","10498"
