web-scraper-order,web-scraper-start-url,pagi,Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"1655991395-87","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Cherokee State Bank","Woodstock","GA","32711","Community & Southern Bank","July 20, 2012","10450"
"1655991395-422","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Corus Bank, N.A.","Chicago","IL","13693","MB Financial Bank, N.A.","September 11, 2009","10117"
"1655991395-530","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Heritage Bank, NA","Newport Beach","CA","57961","Mutual of Omaha Bank","July 25, 2008","10009"
"1655991395-458","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Piedmont Bank","Winder","GA","34594","First American Bank and Trust Company","July 17, 2009","10084"
"1655991395-109","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Covenant Bank & Trust","Rock Spring","GA","58068","Stearns Bank, N.A.","March 23, 2012","10430"
"1655991395-21","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","North Milwaukee State Bank","Milwaukee","WI","20364","First-Citizens Bank & Trust Company","March 11, 2016","10518"
"1655991395-325","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Butler Bank","Lowell","MA","26619","People's United Bank","April 16, 2010","10211"
"1655991395-312","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Westernbank Puerto Rico
            

            En Español","Mayaguez","PR","31027","Banco Popular de Puerto Rico","April 30, 2010","10231"
"1655991395-211","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Enterprise Banking Company","McDonough","GA","19758","No Acquirer","January 21, 2011","10329"
"1655991395-14","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Proficio Bank","Cottonwood Heights","UT","35495","Cache Valley Bank","March 3, 2017","10525"
"1655991395-170","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Atlantic Bank and Trust","Charleston","SC","58420","First Citizens Bank and Trust Company, Inc.","June 3, 2011","10369"
"1655991395-413","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","San Joaquin Bank","Bakersfield","CA","23266","Citizens Business Bank","October 16, 2009","10126"
"1655991395-270","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","SouthwestUSA Bank","Las Vegas","NV","35434","Plaza Bank","July 23, 2010","10267"
"1655991395-171","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Heritage Bank","Snohomish","WA","23626","Columbia State Bank","May 27, 2011","10368"
"1655991395-441","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community National Bank of Sarasota County","Venice","FL","27183","Stearns Bank, N.A.","August 7, 2009","10099"
"1655991395-235","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Suburban National Bank","Maywood","IL","16089","Seaway Bank and Trust Company","October 22, 2010","10301"
"1655991395-321","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Amcore Bank, National Association","Rockford","IL","3735","Harris N.A.","April 23, 2010","10218"
"1655991395-79","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","GulfSouth Private Bank","Destin","FL","58073","SmartBank","October 19, 2012","10462"
"1655991395-405","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank USA, N.A.","Phoenix","AZ","32218","U.S. Bank N.A.","October 30, 2009","10136"
"1655991395-558","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sinclair National Bank","Gravette","AR","34248","Delta Trust & Bank","September 7, 2001","4649"
"1655991395-173","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Georgia Banking Company","Franklin","GA","57647","CertusBank, National Association","May 20, 2011","10366"
"1655991395-184","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Nexity Bank","Birmingham","AL","19794","AloStar Bank of Commerce","April 15, 2011","10356"
"1655991395-382","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Greater Atlantic Bank","Reston","VA","32583","Sonabank","December 4, 2009","10156"
"1655991395-110","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","New City Bank","Chicago","IL","57597","No Acquirer","March 9, 2012","10429"
"1655991395-439","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Dwelling House Savings and Loan Association","Pittsburgh","PA","31559","PNC Bank, N.A.","August 14, 2009","10104"
"1655991395-202","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","North Georgia Bank","Watkinsville","GA","35242","BankSouth","February 4, 2011","10338"
"1655991395-438","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Colonial Bank","Montgomery","AL","9609","Branch Banking & Trust Company, (BB&T)","August 14, 2009","10103"
"1655991395-20","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Trust Company Bank","Memphis","TN","9956","The Bank of Fayette County","April 29, 2016","10519"
"1655991395-5","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","City National Bank of New Jersey","Newark","NJ","21111","Industrial Bank","November 1, 2019","10534"
"1655991395-314","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Eurobank
            

            En Español","San Juan","PR","27150","Oriental Bank and Trust","April 30, 2010","10229"
"1655991395-277","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Olde Cypress Community Bank","Clewiston","FL","28864","CenterState Bank of Florida, N.A.","July 16, 2010","10260"
"1655991395-454","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Waterford Village Bank","Williamsville","NY","58065","Evans Bank, N.A.","July 24, 2009","10091"
"1655991395-444","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First BankAmericano","Elizabeth","NJ","34270","Crown Bank","July 31, 2009","10097"
"1655991395-174","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Atlantic Southern Bank","Macon","GA","57213","CertusBank, National Association","May 20, 2011","10365"
"1655991395-251","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Ellijay","Ellijay","GA","58197","Community & Southern Bank","September 17, 2010","10287"
"1655991395-396","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","United Security Bank","Sparta","GA","22286","Ameris Bank","November 6, 2009","10145"
"1655991395-152","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Whitman","Colfax","WA","22528","Columbia State Bank","August 5, 2011","10387"
"1655991395-96","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Farmers' and Traders' State Bank","Shabbona","IL","9257","First State Bank","June 8, 2012","10442"
"1655991395-459","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Wyoming","Thermopolis","WY","22754","Central Bank & Trust","July 10, 2009","10080"
"1655991395-433","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Coweta Bank","Newnan","GA","57702","United Bank","August 21, 2009","10108"
"1655991395-203","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","American Trust Bank","Roswell","GA","57432","Renasant Bank","February 4, 2011","10336"
"1655991395-456","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Vineyard Bank","Rancho Cucamonga","CA","23556","California Bank & Trust","July 17, 2009","10083"
"1655991395-535","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Hume Bank","Hume","MO","1971","Security Bank","March 7, 2008","10004"
"1655991395-421","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Brickwell Community Bank","Woodbury","MN","57736","CorTrust Bank N.A.","September 11, 2009","10118"
"1655991395-130","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","All American Bank","Des Plaines","IL","57759","International Bank of Chicago","October 28, 2011","10409"
"1655991395-504","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Alliance Bank","Culver City","CA","23124","California Bank & Trust","February 6, 2009","10035"
"1655991395-496","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Security Savings Bank","Henderson","NV","34820","Bank of Nevada","February 27, 2009","10043"
"1655991395-395","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Home Federal Savings Bank","Detroit","MI","30329","Liberty Bank and Trust Company","November 6, 2009","10144"
"1655991395-416","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Warren Bank","Warren","MI","34824","The Huntington National Bank","October 2, 2009","10125"
"1655991395-84","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Jasper Banking Company","Jasper","GA","16240","Stearns Bank N.A.","July 27, 2012","10455"
"1655991395-282","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Home National Bank","Blackwell","OK","11636","RCB Bank","July 9, 2010","10256"
"1655991395-448","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Security Bank of Jones County","Gray","GA","8486","State Bank and Trust Company","July 24, 2009","10088"
"1655991395-93","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Security Exchange Bank","Marietta","GA","35299","Fidelity Bank","June 15, 2012","10446"
"1655991395-489","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","New Frontier Bank","Greeley","CO","34881","No Acquirer","April 10, 2009","10050"
"1655991395-492","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","TeamBank, NA","Paola","KS","4754","Great Southern Bank","March 20, 2009","10046"
"1655991395-542","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Guaranty National Bank of Tallahassee","Tallahassee","FL","26838","Hancock Bank of Florida","March 12, 2004","4663"
"1655991395-156","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Virginia Business Bank","Richmond","VA","58283","Xenith Bank","July 29, 2011","10385"
"1655991395-120","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","American Eagle Savings Bank","Boothwyn","PA","31581","Capital Bank, N.A.","January 20, 2012","10417"
"1655991395-554","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","NextBank, NA","Phoenix","AZ","22314","No Acquirer","February 7, 2002","4653"
"1655991395-447","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First State Bank of Altus","Altus","OK","9873","Herring Bank","July 31, 2009","10093"
"1655991395-243","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Shoreline Bank","Shoreline","WA","35250","GBC International Bank","October 1, 2010","10295"
"1655991395-180","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of Central Florida","Winter Park","FL","26297","Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011","10362"
"1655991395-11","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Fayette County Bank","Saint Elmo","IL","1802","United Fidelity Bank, fsb","May 26, 2017","10528"
"1655991395-313","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","R-G Premier Bank of Puerto Rico
            

            En Español","Hato Rey","PR","32185","Scotiabank de Puerto Rico","April 30, 2010","10230"
"1655991395-480","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","America West Bank","Layton","UT","35461","Cache Valley Bank","May 1, 2009","10057"
"1655991395-386","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Security National Bank","Norcross","GA","26290","State Bank and Trust Company","December 4, 2009","10157"
"1655991395-527","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Integrity Bank","Alpharetta","GA","35469","Regions Bank","August 29, 2008","10012"
"1655991395-532","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","IndyMac Bank","Pasadena","CA","29730","OneWest Bank, FSB","July 11, 2008","10007"
"1655991395-266","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Coastal Community Bank","Panama City Beach","FL","9619","Centennial Bank","July 30, 2010","10272"
"1655991395-249","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Peoples Bank","Winder","GA","182","Community & Southern Bank","September 17, 2010","10292"
"1655991395-18","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Woodbury Banking Company","Woodbury","GA","11297","United Bank","August 19, 2016","10521"
"1655991395-160","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Summit Bank","Prescott","AZ","57442","The Foothills Bank","July 15, 2011","10379"
"1655991395-522","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Meridian Bank","Eldred","IL","13789","National Bank","October 10, 2008","10017"
"1655991395-229","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Vietnamese American Bank","Westminster","CA","57885","Grandpoint Bank","November 5, 2010","10307"
"1655991395-310","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Champion Bank","Creve Coeur","MO","58362","BankLiberty","April 30, 2010","10227"
"1655991395-380","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Valley Capital Bank, N.A.","Mesa","AZ","58399","Enterprise Bank & Trust","December 11, 2009","10159"
"1655991395-540","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Ephraim","Ephraim","UT","1249","Far West Bank","June 25, 2004","4665"
"1655991395-387","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Buckhead Community Bank","Atlanta","GA","34663","State Bank and Trust Company","December 4, 2009","10152"
"1655991395-526","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Silver State Bank
            

            En Español","Henderson","NV","34194","Nevada State Bank","September 5, 2008","10013"
"1655991395-452","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Security Bank of North Fulton","Alpharetta","GA","57430","State Bank and Trust Company","July 24, 2009","10089"
"1655991395-59","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Central Arizona Bank","Scottsdale","AZ","34527","Western State Bank","May 14, 2013","10479"
"1655991395-349","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sun American Bank","Boca Raton","FL","27126","First-Citizens Bank & Trust Company","March 5, 2010","10192"
"1655991395-54","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Wausau","Wausau","WI","35016","Nicolet National Bank","August 9, 2013","10485"
"1655991395-348","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Illinois","Normal","IL","9268","Heartland Bank and Trust Company","March 5, 2010","10191"
"1655991395-341","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","American National Bank","Parma","OH","18806","The National Bank and Trust Company","March 19, 2010","10201"
"1655991395-206","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Evergreen State Bank","Stoughton","WI","5328","McFarland State Bank","January 28, 2011","10332"
"1655991395-52","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sunrise Bank of Arizona","Phoenix","AZ","34707","First Fidelity Bank, National Association","August 23, 2013","10487"
"1655991395-331","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Desert Hills Bank","Phoenix","AZ","57060","New York Community Bank","March 26, 2010","10205"
"1655991395-420","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Venture Bank","Lacey","WA","22868","First-Citizens Bank & Trust Company","September 11, 2009","10119"
"1655991395-162","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","High Trust Bank","Stockbridge","GA","19554","Ameris Bank","July 15, 2011","10377"
"1655991395-167","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Mountain Heritage Bank","Clayton","GA","57593","First American Bank and Trust Company","June 24, 2011","10372"
"1655991395-50","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank also operating as The National Bank of El Paso
            

            En Español","Edinburg","TX","14318","PlainsCapital Bank","September 13, 2013","10488"
"1655991395-161","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Peoples Bank","Port St. Lucie","FL","34870","Premier American Bank, N.A.","July 15, 2011","10376"
"1655991395-233","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Arizona Savings, A FSB","Scottsdale","AZ","32582","No Acquirer","October 22, 2010","10306"
"1655991395-19","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First CornerStone Bank","King of Prussia","PA","35312","First-Citizens Bank & Trust Company","May 6, 2016","10520"
"1655991395-81","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Truman Bank","St. Louis","MO","27316","Simmons First National Bank","September 14, 2012","10458"
"1655991395-423","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First State Bank","Flagstaff","AZ","34875","Sunwest Bank","September 4, 2009","10114"
"1655991395-127","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Bank of Rockmart","Rockmart","GA","57860","Century Bank of Georgia","November 10, 2011","10412"
"1655991395-401","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Pacific National Bank","San Francisco","CA","30006","U.S. Bank N.A.","October 30, 2009","10139"
"1655991395-280","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of the South","Spartanburg","SC","35383","NAFH National Bank","July 16, 2010","10263"
"1655991395-311","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","CF Bancorp","Port Huron","MI","30005","First Michigan Bank","April 30, 2010","10226"
"1655991395-230","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Pierce Commercial Bank","Tacoma","WA","34411","Heritage Bank","November 5, 2010","10309"
"1655991395-388","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Commerce Bank of Southwest Florida","Fort Myers","FL","58016","Central Bank","November 20, 2009","10151"
"1655991395-213","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Legacy Bank","Scottsdale","AZ","57820","Enterprise Bank & Trust","January 7, 2011","10326"
"1655991395-165","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Colorado Capital Bank","Castle Rock","CO","34522","First-Citizens Bank & Trust Company","July 8, 2011","10373"
"1655991395-549","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","AmTrade International Bank
            

            En Español","Atlanta","GA","33784","No Acquirer","September 30, 2002","4657"
"1655991395-182","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Rosemount National Bank","Rosemount","MN","24099","Central Bank","April 15, 2011","10357"
"1655991395-476","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens National Bank","Macomb","IL","5757","Morton Community Bank","May 22, 2009","10063"
"1655991395-255","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Los Padres Bank","Solvang","CA","32165","Pacific Western Bank","August 20, 2010","10282"
"1655991395-38","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Valley Bank","Moline","IL","10450","Great Southern Bank","June 20, 2014","10502"
"1655991395-210","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","CommunitySouth Bank & Trust","Easley","SC","57868","CertusBank, National Association","January 21, 2011","10328"
"1655991395-505","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","FirstBank Financial Services","McDonough","GA","57017","Regions Bank","February 6, 2009","10036"
"1655991395-337","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Hiawassee","Hiawassee","GA","10054","Citizens South Bank","March 19, 2010","10202"
"1655991395-168","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Commercial Bank of Tampa Bay","Tampa","FL","27583","Stonegate Bank","June 17, 2011","10370"
"1655991395-377","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Peoples First Community Bank","Panama City","FL","32167","Hancock Bank","December 18, 2009","10165"
"1655991395-381","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Republic Federal Bank, N.A.","Miami","FL","22846","1st United Bank","December 11, 2009","10158"
"1655991395-327","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","AmericanFirst Bank","Clermont","FL","57724","TD Bank, N.A.","April 16, 2010","10210"
"1655991395-324","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Innovative Bank","Oakland","CA","23876","Center Bank","April 16, 2010","10214"
"1655991395-72","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Bank of the Ozarks","Sunrise Beach","MO","27331","Bank of Sullivan","December 14, 2012","10467"
"1655991395-257","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Pacific State Bank","Stockton","CA","27090","Rabobank, N.A.","August 20, 2010","10283"
"1655991395-515","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","PFF Bank & Trust","Pomona","CA","28344","U.S. Bank, N.A.","November 21, 2008","10024"
"1655991395-499","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Pinnacle Bank of Oregon","Beaverton","OR","57342","Washington Trust Bank of Spokane","February 13, 2009","10040"
"1655991395-460","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Founders Bank","Worth","IL","18390","The PrivateBank and Trust Company","July 2, 2009","10074"
"1655991395-73","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Hometown Community Bank","Braselton","GA","57928","CertusBank, National Association","November 16, 2012","10466"
"1655991395-122","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Central Florida State Bank","Belleview","FL","57186","CenterState Bank of Florida, N.A.","January 20, 2012","10418"
"1655991395-123","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Western National Bank","Phoenix","AZ","57917","Washington Federal","December 16, 2011","10416"
"1655991395-42","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Allendale County Bank","Fairfax","SC","15062","Palmetto State Bank","April 25, 2014","10497"
"1655991395-365","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Charter Bank","Santa Fe","NM","32498","Charter Bank","January 22, 2010","10175"
"1655991395-34","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","GreenChoice Bank, fsb","Chicago","IL","28462","Providence Bank, LLC","July 25, 2014","10505"
"1655991395-179","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Cortez Community Bank","Brooksville","FL","57625","Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011","10360"
"1655991395-273","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Williamsburg First National Bank","Kingstree","SC","17837","First Citizens Bank and Trust Company, Inc.","July 23, 2010","10270"
"1655991395-157","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Choice","Greeley","CO","2994","Bank Midwest, N.A.","July 22, 2011","10380"
"1655991395-214","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Commercial Bank of Florida","Orlando","FL","34965","First Southern Bank","January 7, 2011","10325"
"1655991395-97","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Carolina Federal Savings Bank","Charleston","SC","35372","Bank of North Carolina","June 8, 2012","10441"
"1655991395-103","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Inter Savings Bank, fsb D/B/A InterBank, fsb","Maple Grove","MN","31495","Great Southern Bank","April 27, 2012","10436"
"1655991395-234","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Hillcrest Bank","Overland Park","KS","22173","Hillcrest Bank, N.A.","October 22, 2010","10302"
"1655991395-392","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","United Commercial Bank","San Francisco","CA","32469","East West Bank","November 6, 2009","10147"
"1655991395-525","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Ameribank","Northfork","WV","6782","The Citizens Savings Bank ********** Pioneer Community Bank, Inc.","September 19, 2008","10014"
"1655991395-232","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","K Bank","Randallstown","MD","31263","Manufacturers and Traders Trust Company (M&T Bank)","November 5, 2010","10308"
"1655991395-196","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Habersham Bank","Clarkesville","GA","151","SCBT National Association","February 18, 2011","10345"
"1655991395-297","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Florida - Southwest","Naples","FL","35106","EverBank","May 28, 2010","10242"
"1655991395-461","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Millennium State Bank of Texas","Dallas","TX","57667","State Bank of Texas","July 2, 2009","10079"
"1655991395-339","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Advanta Bank Corp.","Draper","UT","33535","No Acquirer","March 19, 2010","10200"
"1655991395-485","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Michigan Heritage Bank","Farmington Hills","MI","34369","Level One Bank","April 24, 2009","10056"
"1655991395-92","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Farmers Bank of Lynchburg","Lynchburg","TN","1690","Clayton Bank and Trust","June 15, 2012","10447"
"1655991395-126","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Polk County Bank","Johnston","IA","14194","Grinnell State Bank","November 18, 2011","10414"
"1655991395-220","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Bank of Miami,N.A.","Coral Gables","FL","19040","1st United Bank","December 17, 2010","10324"
"1655991395-488","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","American Sterling Bank","Sugar Creek","MO","8266","Metcalf Bank","April 17, 2009","10052"
"1655991395-406","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First DuPage Bank","Westmont","IL","35038","First Midwest Bank","October 23, 2009","10128"
"1655991395-183","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Superior Bank","Birmingham","AL","17750","Superior Bank, National Association","April 15, 2011","10358"
"1655991395-241","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","WestBridge Bank and Trust Company","Chesterfield","MO","58205","Midland States Bank","October 15, 2010","10299"
"1655991395-511","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","National Bank of Commerce","Berkeley","IL","19733","Republic Bank of Chicago","January 16, 2009","10028"
"1655991395-256","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Butte Community Bank","Chico","CA","33219","Rabobank, N.A.","August 20, 2010","10278"
"1655991395-25","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Edgebrook Bank","Chicago","IL","57772","Republic Bank of Chicago","May 8, 2015","10514"
"1655991395-419","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Irwin Union Bank and Trust Company","Columbus","IN","10100","First Financial Bank, N.A.","September 18, 2009","10120"
"1655991395-390","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Orion Bank","Naples","FL","22427","IBERIABANK","November 13, 2009","10149"
"1655991395-195","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens Bank of Effingham","Springfield","GA","34601","Heritage Bank of the South","February 18, 2011","10344"
"1655991395-219","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Chestatee State Bank","Dawsonville","GA","34578","Bank of the Ozarks","December 17, 2010","10320"
